Dog Number,Dog Name,Inappropriate behavior at home in the presence of people,Inappropriate behavior when left alone,Improper behavior in classes / work,Fear of dogs behind fences,Fear of vehicular traffic while walking down the street,Anxiety about driving inside a car,Fear of dogs without a leash on the street,Fear of stairs,Fear of escalators,Fear of heights,What is the discipline of the dog?,"Responding to the ""To me"" command",Behavior that is inappropriate with dogs,Possessive aggression toward dogs,A desire to chase cats,Noise sensitivity,Sensitivity to walking surfaces,Sensitivity to Dressing Dog-Vest,Difficulty in physical examination,Does the dog exhibit multiple snoring,Having walking troubles,Free text,Entry Date
14,Yossi14,3,2,3,2,1,3,2,1,1,1,2,1,1,2,1,3,3,3,1,2,2,No problems,4/5/2020 15:55
15,Yossi15,3,2,3,2,3,3,2,3,2,2,3,3,1,1,2,3,2,2,1,3,2,No problems,4/5/2020 15:53
16,Yossi16,1,2,2,2,3,2,2,2,1,3,2,3,1,2,3,1,2,2,2,3,3,No problems,4/5/2020 15:51
17,Yossi17,1,1,2,1,2,2,3,2,3,2,1,3,2,1,1,1,3,1,3,2,1,No problems,4/5/2020 15:49
18,Yossi18,2,2,1,2,2,2,2,3,2,3,2,2,2,2,2,1,2,2,2,1,3,No problems,4/5/2020 15:47
19,Yossi19,2,1,3,1,1,1,2,1,2,3,2,3,1,1,3,2,2,2,3,2,3,No problems,4/5/2020 15:45
20,Yossi20,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,3,3,2,2,2,No problems,4/5/2020 15:43
21,Yossi21,2,2,3,2,1,3,2,2,3,2,2,2,2,2,2,3,1,3,2,2,3,No problems,4/5/2020 15:41
22,Yossi22,2,2,3,1,3,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,3,No problems,4/5/2020 15:39
23,Yossi23,2,2,2,3,1,1,1,2,2,1,2,3,1,1,2,1,3,3,1,2,2,No problems,4/5/2020 15:37
24,Yossi24,1,1,1,2,3,1,2,2,2,3,3,1,2,1,3,2,2,3,2,2,2,No problems,4/5/2020 15:35
25,Yossi25,2,1,2,3,2,2,1,2,2,3,2,3,1,1,2,1,2,2,2,2,3,No problems,4/5/2020 15:33
26,Yossi26,2,3,2,1,2,2,2,1,3,1,2,1,1,2,3,1,2,3,2,3,2,No problems,4/5/2020 15:31
27,Yossi27,2,2,2,2,3,3,2,1,2,3,2,1,1,1,3,2,1,2,3,1,1,No problems,4/5/2020 15:29
28,Yossi28,2,3,1,1,3,1,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,No problems,4/5/2020 15:27
29,Yossi29,2,2,3,2,1,2,1,2,1,3,2,1,2,2,1,2,2,3,1,1,2,No problems,4/5/2020 15:25
30,Yossi30,3,2,1,1,3,3,2,3,3,2,3,3,3,2,2,2,2,3,3,1,3,No problems,4/5/2020 15:23
31,Yossi31,2,2,1,3,1,1,2,2,2,2,3,1,2,1,1,1,1,2,2,2,1,No problems,4/5/2020 15:21
32,Yossi32,3,1,2,2,1,3,1,2,2,2,2,2,2,1,3,2,3,1,3,1,1,No problems,4/5/2020 15:19
33,Yossi33,2,3,2,3,2,2,2,1,2,2,2,2,2,2,3,2,3,1,2,2,2,No problems,4/5/2020 15:17
34,Yossi34,3,3,2,2,1,1,2,1,2,2,2,2,1,3,2,2,3,3,2,3,2,No problems,4/5/2020 15:15
35,Yossi35,1,1,2,2,2,2,1,2,3,1,2,3,2,2,1,2,3,1,2,1,2,No problems,4/5/2020 15:13
36,Yossi36,3,2,2,2,3,2,2,3,1,2,1,2,3,2,2,3,3,1,2,1,1,No problems,4/5/2020 15:11
37,Yossi37,2,2,2,2,3,3,2,2,2,1,1,2,2,3,2,1,3,1,1,2,2,No problems,4/5/2020 15:09
38,Yossi38,2,3,3,2,2,3,1,2,2,1,3,2,2,1,2,2,3,3,2,1,2,No problems,4/5/2020 15:07
39,Yossi39,2,3,1,2,2,1,2,2,2,3,2,3,3,2,1,3,3,2,3,3,1,No problems,4/5/2020 15:05
40,Yossi40,3,2,2,3,3,1,1,2,2,3,2,3,1,1,2,1,1,2,2,2,1,No problems,4/5/2020 15:03
41,Yossi41,1,2,2,1,2,3,1,2,2,2,3,3,3,1,1,2,3,1,2,2,1,No problems,4/5/2020 15:01
42,Yossi42,1,1,2,2,2,2,3,3,2,1,2,2,1,1,2,3,3,2,2,2,2,No problems,4/5/2020 14:59
43,Yossi43,2,2,2,2,3,3,2,2,3,1,2,2,2,3,2,2,1,3,2,3,2,No problems,4/5/2020 14:57
44,Yossi44,2,3,3,2,2,1,1,3,2,2,2,2,2,3,2,3,2,2,2,2,3,No problems,4/5/2020 14:55
45,Yossi45,3,2,2,3,3,2,2,2,2,1,2,2,2,3,2,1,3,1,1,1,2,No problems,4/5/2020 14:53
46,Yossi46,2,1,3,2,3,2,2,2,2,3,1,2,2,2,2,2,3,2,2,3,1,No problems,4/5/2020 14:51
47,Yossi47,3,2,1,1,1,1,2,3,3,2,2,3,2,2,2,1,3,3,2,3,2,No problems,4/5/2020 14:49
48,Yossi48,3,3,3,3,3,3,2,2,3,3,2,2,3,4,2,4,4,3,3,2,3,No problems,4/5/2020 14:47
49,Yossi49,3,3,4,3,2,4,2,3,3,3,3,3,2,4,3,3,3,2,3,3,2,No problems,4/5/2020 14:45
50,Yossi50,3,4,2,4,3,4,2,4,3,3,3,3,3,3,3,2,3,3,2,3,3,No problems,4/5/2020 14:43
51,Yossi51,3,3,4,4,3,2,3,3,3,2,4,3,3,3,3,3,4,3,4,3,3,No problems,4/5/2020 14:41
52,Yossi52,2,2,3,2,3,4,2,2,4,4,3,4,2,4,4,2,2,3,2,4,3,No problems,4/5/2020 14:39
53,Yossi53,3,3,3,2,3,4,3,3,4,3,3,2,4,2,4,2,4,3,3,3,2,No problems,4/5/2020 14:37
54,Yossi54,2,3,3,2,2,2,3,3,2,4,4,4,4,3,3,2,2,4,3,3,3,No problems,4/5/2020 14:35
55,Yossi55,3,3,3,3,3,4,3,3,3,3,4,2,3,3,2,3,3,4,4,3,4,No problems,4/5/2020 14:33
56,Yossi56,4,3,2,3,4,3,4,3,3,4,2,4,3,4,3,3,2,4,3,4,2,No problems,4/5/2020 14:31
57,Yossi57,2,2,3,4,3,4,3,3,4,3,2,3,4,3,2,2,2,4,4,3,3,No problems,4/5/2020 14:29
58,Yossi58,3,3,3,4,3,4,3,4,2,2,3,4,3,3,4,2,2,4,3,4,4,No problems,4/5/2020 14:27
59,Yossi59,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,4,2,3,3,No problems,4/5/2020 14:25
60,Yossi60,2,3,2,3,2,4,2,2,4,4,3,3,2,2,3,3,3,3,2,2,2,No problems,4/5/2020 14:23
61,Yossi61,2,4,2,4,3,3,2,2,3,4,4,3,4,2,3,4,4,3,3,4,4,No problems,4/5/2020 14:21
62,Yossi62,3,2,3,3,3,3,3,4,3,2,2,2,3,3,2,2,3,3,4,3,2,No problems,4/5/2020 14:19
63,Yossi63,2,4,4,4,3,4,3,3,3,3,2,2,3,3,4,3,3,2,3,3,2,No problems,4/5/2020 14:17
64,Yossi64,4,3,2,2,2,2,2,2,4,4,4,3,4,3,3,2,4,3,3,2,4,No problems,4/5/2020 14:15
65,Yossi65,3,4,3,4,3,2,4,2,2,4,4,3,2,4,2,3,4,2,4,2,3,No problems,4/5/2020 14:13
66,Yossi66,2,2,3,2,3,3,3,3,4,3,3,3,3,3,4,4,2,2,2,3,3,No problems,4/5/2020 14:11
67,Yossi67,3,3,3,4,4,3,3,3,3,4,3,4,2,3,3,3,3,3,3,2,4,No problems,4/5/2020 14:09
68,Yossi68,2,2,2,4,4,3,3,3,4,3,3,4,2,4,4,3,3,2,4,3,3,No problems,4/5/2020 14:07
69,Yossi69,3,4,2,3,3,2,4,4,3,4,4,4,3,3,3,4,4,2,4,4,3,No problems,4/5/2020 14:05
70,Yossi70,3,4,2,3,3,2,3,3,2,2,2,3,3,3,3,3,2,3,3,4,2,No problems,4/5/2020 14:03
71,Yossi71,3,4,2,2,3,3,3,4,2,4,3,3,2,3,2,2,4,3,2,4,2,No problems,4/5/2020 14:01
72,Yossi72,2,3,3,3,2,3,2,4,3,3,2,4,2,3,3,3,3,3,4,3,4,No problems,4/5/2020 13:59
73,Yossi73,2,2,3,3,3,3,4,2,4,3,3,3,4,3,4,3,2,3,3,3,3,No problems,4/5/2020 13:57
74,Yossi74,3,3,4,3,2,4,4,2,4,2,2,3,3,3,4,4,2,3,2,3,4,No problems,4/5/2020 13:55
75,Yossi75,4,3,3,4,3,3,3,3,3,4,2,3,3,3,3,3,2,3,4,3,3,No problems,4/5/2020 13:53
76,Yossi76,2,2,3,4,3,4,4,2,3,3,2,3,2,2,4,2,4,3,3,2,2,No problems,4/5/2020 13:51
77,Yossi77,2,3,3,2,4,2,4,4,2,2,3,3,4,3,2,3,2,3,3,3,2,No problems,4/5/2020 13:49
78,Yossi78,3,3,4,3,3,3,2,3,3,3,3,4,4,4,4,4,4,2,3,3,2,No problems,4/5/2020 13:47
79,Yossi79,2,3,3,2,2,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,3,No problems,4/5/2020 13:45
80,Yossi80,2,3,4,3,4,4,3,4,3,2,3,2,4,3,3,3,3,3,2,3,4,No problems,4/5/2020 13:43
81,Yossi81,4,3,4,3,4,4,3,3,3,4,3,3,4,3,3,2,2,3,2,3,3,No problems,4/5/2020 13:41
82,Yossi82,2,3,2,3,4,2,4,3,3,3,2,4,3,2,2,3,2,3,3,4,2,No problems,4/5/2020 13:39
83,Yossi83,2,3,4,2,2,3,3,3,3,4,3,4,3,3,2,3,3,3,2,3,3,No problems,4/5/2020 13:37
84,Yossi84,3,3,3,3,4,3,3,4,2,3,3,3,3,3,2,3,3,4,4,2,4,No problems,4/5/2020 13:35
85,Yossi85,3,3,4,2,2,3,2,4,3,3,4,3,4,4,4,2,4,4,3,2,3,No problems,4/5/2020 13:33
86,Yossi86,4,4,3,4,2,4,3,3,3,2,4,3,3,3,3,4,2,2,3,3,3,No problems,4/5/2020 13:31
87,Yossi87,2,4,3,3,3,3,3,4,3,3,2,3,2,2,3,4,2,3,3,2,3,No problems,4/5/2020 13:29
88,Yossi88,4,4,4,3,3,4,3,2,4,2,4,3,3,4,3,4,4,3,2,2,3,No problems,4/5/2020 13:27
89,Yossi89,2,3,4,4,2,3,2,3,4,2,3,4,3,4,3,2,4,3,4,3,4,No problems,4/5/2020 13:25
90,Yossi90,5,4,4,4,3,5,4,3,4,3,3,3,4,3,2,2,3,5,5,5,4,No problems,4/5/2020 13:23
91,Yossi91,3,4,3,5,3,2,2,5,3,2,2,2,4,3,5,3,4,3,4,4,4,No problems,4/5/2020 13:21
92,Yossi92,5,4,4,3,2,3,2,2,5,3,3,5,5,3,3,4,4,2,3,3,4,No problems,4/5/2020 13:19
93,Yossi93,3,4,4,4,4,5,4,3,3,5,4,3,4,3,4,3,4,5,5,3,3,No problems,4/5/2020 13:17
94,Yossi94,4,5,2,4,5,2,3,5,4,3,3,4,2,5,4,3,4,2,4,4,3,No problems,4/5/2020 13:15
95,Yossi95,5,5,5,5,2,4,2,3,3,5,4,3,2,3,2,3,5,2,5,4,2,No problems,4/5/2020 13:13
96,Yossi96,3,5,3,3,4,4,3,2,4,5,4,5,4,4,2,3,5,2,4,3,5,No problems,4/5/2020 13:11
97,Yossi97,4,3,2,3,2,3,4,4,4,5,4,2,4,3,5,4,5,4,3,5,3,No problems,4/5/2020 13:09
98,Yossi98,2,4,4,4,5,4,3,4,3,4,3,3,4,4,2,2,3,4,4,3,3,No problems,4/5/2020 13:07
99,Yossi99,3,3,3,3,4,4,4,5,5,3,4,4,2,3,4,4,3,4,3,4,4,No problems,4/5/2020 13:05
100,Yossi100,3,5,3,4,2,3,5,4,3,5,2,5,5,5,3,2,4,5,3,3,3,No problems,4/5/2020 13:03
101,Yossi101,4,4,3,4,4,2,5,2,4,3,3,5,3,4,4,3,3,2,3,4,3,No problems,4/5/2020 13:01
102,Yossi102,5,3,3,5,4,4,5,3,5,4,2,4,3,4,3,2,4,3,5,4,4,No problems,4/5/2020 12:59
103,Yossi103,3,5,4,5,4,3,3,2,4,3,3,3,3,3,3,3,4,4,4,5,2,No problems,4/5/2020 12:57
104,Yossi104,3,3,3,5,2,4,5,3,4,4,3,3,4,4,2,2,2,2,4,4,4,No problems,4/5/2020 12:55
105,Yossi105,4,4,3,5,2,4,2,3,4,2,3,4,3,3,3,5,4,3,2,4,4,No problems,4/5/2020 12:53
106,Yossi106,4,3,4,2,5,4,2,4,3,2,5,3,3,3,4,3,4,2,2,4,2,No problems,4/5/2020 12:51
107,Yossi107,2,3,2,4,4,3,3,3,3,2,3,3,5,4,4,5,5,5,4,3,3,No problems,4/5/2020 12:49
108,Yossi108,3,5,4,3,3,3,2,4,4,2,4,3,4,5,2,4,4,5,2,2,4,No problems,4/5/2020 12:47
109,Yossi109,4,4,3,4,3,2,4,5,3,4,2,5,3,2,3,3,4,3,2,5,4,No problems,4/5/2020 12:45
110,Yossi110,4,5,4,5,4,3,3,4,4,5,5,4,3,4,3,2,2,3,3,5,4,No problems,4/5/2020 12:43
111,Yossi111,5,3,2,2,4,3,5,5,4,4,5,4,4,2,5,2,4,4,5,3,3,No problems,4/5/2020 12:41
112,Yossi112,5,4,2,5,3,4,2,2,5,3,3,4,2,3,4,2,3,4,4,4,4,No problems,4/5/2020 12:39
113,Yossi113,5,5,4,3,2,2,3,3,5,3,3,2,3,5,5,5,3,4,3,4,2,No problems,4/5/2020 12:37
114,Yossi114,2,5,3,4,4,3,3,3,5,3,5,2,5,4,4,4,2,2,3,4,4,No problems,4/5/2020 12:35
115,Yossi115,2,4,2,2,4,3,4,4,4,4,4,2,3,5,2,3,4,4,3,4,4,No problems,4/5/2020 12:33
116,Yossi116,5,4,3,4,3,5,4,2,2,4,3,2,4,5,3,3,3,4,2,3,4,No problems,4/5/2020 12:31
117,Yossi117,3,4,4,3,4,3,4,5,3,2,4,4,4,2,5,5,3,4,5,3,5,No problems,4/5/2020 12:29
118,Yossi118,5,4,3,3,3,4,3,3,4,3,3,5,3,2,3,4,3,5,2,3,3,No problems,4/5/2020 12:27
119,Yossi119,5,3,3,4,3,3,3,3,3,3,3,5,4,3,4,4,2,2,3,4,3,No problems,4/5/2020 12:25
120,Yossi120,5,4,5,4,2,5,5,5,5,3,3,4,3,2,3,4,3,3,4,3,3,No problems,4/5/2020 12:23
121,Yossi121,3,3,3,4,3,2,3,3,3,3,3,4,5,3,5,4,3,3,4,4,4,No problems,4/5/2020 12:21
122,Yossi122,3,4,2,4,5,2,3,5,3,2,4,3,3,4,5,2,3,2,2,4,3,No problems,4/5/2020 12:19
123,Yossi123,4,2,4,2,3,5,5,3,3,4,5,3,4,2,3,4,4,4,3,3,2,No problems,4/5/2020 12:17
124,Yossi124,3,5,3,3,2,5,2,3,3,4,4,2,4,3,3,3,4,4,2,3,5,No problems,4/5/2020 12:15
125,Yossi125,2,4,4,4,4,2,2,3,4,3,4,4,3,4,5,3,2,2,4,3,3,No problems,4/5/2020 12:13
126,Yossi126,4,3,4,3,3,2,3,4,3,4,5,4,5,3,3,4,4,3,2,4,5,No problems,4/5/2020 12:11
127,Yossi127,4,4,4,3,3,4,3,3,3,3,4,4,4,2,4,5,3,3,4,3,3,No problems,4/5/2020 12:09
128,Yossi128,4,3,3,4,3,3,3,5,2,2,2,5,4,2,2,4,5,2,4,3,4,No problems,4/5/2020 12:07
129,Yossi129,2,3,4,3,4,5,4,5,4,5,3,3,3,4,3,3,4,3,4,3,2,No problems,4/5/2020 12:05
