Dog Number,Dog Name,Inappropriate behavior at home in the presence of people,Inappropriate behavior when left alone,Improper behavior in classes / work,Fear of dogs behind fences,Fear of vehicular traffic while walking down the street,Anxiety about driving inside a car,Fear of dogs without a leash on the street,Fear of stairs,Fear of escalators,Fear of heights,What is the discipline of the dog?,"Responding to the ""To me"" command",Suspicious behavior towards strangers,Making needs while walking,Behavior that is inappropriate with people,Behavior that is inappropriate with dogs,Possessive aggression toward dogs,A desire to chase cats,Noise sensitivity,Sensitivity to walking surfaces,Sensitivity to Dressing Dog-Vest,Difficulty in physical examination,Does the dog exhibit multiple snoring,Having walking troubles,Free text,Entry Date
51,Yossi180,4,4,3,3,4,3,2,4,3,3,3,2,3,2,4,2,3,3,3,4,4,4,3,3,No problems,4/5/2020 14:41
52,Yossi181,3,3,3,4,3,3,3,3,4,4,3,3,3,2,3,2,3,2,2,3,2,2,3,3,No problems,4/5/2020 14:39
53,Yossi182,3,2,2,3,2,3,4,4,2,4,3,3,4,4,2,3,3,2,2,4,3,3,3,3,No problems,4/5/2020 14:37
54,Yossi183,2,3,3,2,3,3,3,4,4,2,3,2,3,2,4,4,3,3,3,3,3,3,3,3,No problems,4/5/2020 14:35
55,Yossi184,3,4,4,3,3,2,4,4,4,4,3,3,2,4,3,4,4,3,3,3,3,3,4,3,No problems,4/5/2020 14:33
56,Yossi185,3,4,3,4,4,3,3,3,2,3,2,2,4,3,4,2,3,4,2,4,4,2,4,3,No problems,4/5/2020 14:31
57,Yossi186,4,2,4,4,3,3,3,3,4,2,4,4,4,2,4,2,3,2,4,2,2,4,3,3,No problems,4/5/2020 14:29
58,Yossi187,3,2,3,3,3,3,3,3,4,4,3,3,2,2,3,3,2,3,4,3,4,3,3,2,No problems,4/5/2020 14:27
59,Yossi188,3,2,2,3,2,3,4,3,4,4,4,3,3,3,3,3,2,3,2,3,4,2,3,3,No problems,4/5/2020 14:25
60,Yossi189,2,3,3,4,3,4,2,3,4,2,4,4,2,3,3,4,2,4,4,3,4,3,3,4,No problems,4/5/2020 14:23
61,Yossi190,4,4,3,3,2,3,3,2,4,3,3,2,2,2,3,4,4,2,3,3,2,2,3,3,No problems,4/5/2020 14:21
62,Yossi191,3,3,4,4,2,3,3,4,4,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,No problems,4/5/2020 14:19
63,Yossi192,4,3,3,4,4,3,4,2,3,3,3,2,4,3,2,4,3,4,4,3,3,2,3,3,No problems,4/5/2020 14:17
64,Yossi193,3,4,3,3,3,4,2,3,2,4,2,4,2,4,4,3,3,3,3,2,3,2,3,2,No problems,4/5/2020 14:15
65,Yossi194,2,3,3,4,3,3,3,4,3,3,2,3,3,2,3,2,2,4,2,3,2,3,3,4,No problems,4/5/2020 14:13
66,Yossi195,3,2,3,4,3,3,2,4,3,4,2,3,4,3,3,3,2,3,3,4,4,3,3,3,No problems,4/5/2020 14:11
67,Yossi196,3,3,4,3,2,3,3,3,4,3,4,4,4,4,3,2,3,2,2,4,3,3,2,3,No problems,4/5/2020 14:09
68,Yossi197,4,3,3,3,2,3,2,2,3,4,3,3,3,3,2,3,3,3,3,3,3,3,4,2,No problems,4/5/2020 14:07
69,Yossi198,2,2,3,2,4,4,4,3,3,3,2,4,3,2,4,2,3,4,3,4,3,2,4,4,No problems,4/5/2020 14:05
70,Yossi199,4,4,2,2,3,4,4,4,3,3,2,3,3,3,4,3,2,4,3,4,4,2,2,4,No problems,4/5/2020 14:03
71,Yossi200,4,3,3,2,2,3,3,3,4,3,2,4,4,3,4,3,4,4,2,3,2,4,3,3,No problems,4/5/2020 14:01
72,Yossi201,3,4,3,2,3,4,4,3,2,3,2,3,3,3,4,3,3,3,4,4,3,3,3,2,No problems,4/5/2020 13:59
73,Yossi202,3,4,4,4,2,3,4,4,3,3,3,2,2,3,2,2,3,2,3,3,2,2,3,2,No problems,4/5/2020 13:57
74,Yossi203,4,3,3,3,3,3,3,3,2,3,4,2,3,4,4,4,3,2,3,4,2,4,3,3,No problems,4/5/2020 13:55
75,Yossi204,4,2,4,4,3,4,2,3,3,4,3,3,3,4,4,2,2,2,3,3,3,2,2,2,No problems,4/5/2020 13:53
76,Yossi205,3,2,4,2,3,4,3,2,3,2,3,2,4,4,3,2,3,3,3,4,2,2,4,3,No problems,4/5/2020 13:51
77,Yossi206,2,4,3,2,4,3,2,4,2,3,3,3,2,2,3,3,3,2,3,3,2,3,3,2,No problems,4/5/2020 13:49
78,Yossi207,4,3,2,2,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,No problems,4/5/2020 13:47
79,Yossi208,3,3,3,4,2,4,4,2,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,No problems,4/5/2020 13:45
80,Yossi209,4,3,3,4,3,4,3,4,3,4,2,3,3,3,4,3,3,3,3,3,3,2,3,3,No problems,4/5/2020 13:43
81,Yossi210,2,4,3,2,3,3,3,3,2,4,4,2,4,3,2,3,3,2,2,2,3,3,4,3,No problems,4/5/2020 13:41
82,Yossi211,2,4,4,4,2,2,3,3,3,4,4,3,3,3,4,2,4,2,2,3,2,4,2,3,No problems,4/5/2020 13:39
83,Yossi212,4,3,2,4,3,2,3,3,2,3,2,3,4,3,3,2,3,3,2,2,3,3,3,3,No problems,4/5/2020 13:37
84,Yossi213,2,3,4,4,3,3,2,2,3,2,4,4,3,3,4,3,3,3,4,2,3,2,4,2,No problems,4/5/2020 13:35
85,Yossi214,4,3,3,4,2,2,2,4,4,3,3,3,3,2,4,3,4,4,3,3,3,3,3,3,No problems,4/5/2020 13:33
86,Yossi215,4,3,4,3,3,3,4,4,3,4,2,3,4,4,3,3,3,3,3,4,2,3,2,3,No problems,4/5/2020 13:31
87,Yossi216,3,4,3,2,2,3,2,4,4,2,2,3,4,4,2,3,3,2,3,3,4,4,3,2,No problems,4/5/2020 13:29
88,Yossi217,3,4,2,2,4,4,2,4,4,3,2,3,3,2,3,4,4,3,4,3,4,4,2,3,No problems,4/5/2020 13:27
89,Yossi218,4,5,3,3,4,3,3,4,3,2,5,3,4,2,2,3,5,2,3,4,3,4,3,4,No problems,4/5/2020 13:25
90,Yossi219,5,3,5,3,3,5,2,3,3,4,4,2,3,4,3,3,4,4,4,3,3,4,3,4,No problems,4/5/2020 13:23
91,Yossi220,4,4,3,5,2,4,4,5,2,4,5,4,4,2,3,3,3,3,3,2,4,5,5,3,No problems,4/5/2020 13:21
92,Yossi221,4,3,5,4,4,3,3,3,5,3,4,4,3,4,4,4,4,4,4,3,3,4,4,2,No problems,4/5/2020 13:19
93,Yossi222,4,4,2,4,4,4,4,3,5,2,3,4,4,4,3,5,5,3,3,3,2,3,4,2,No problems,4/5/2020 13:17
94,Yossi223,5,4,4,4,3,3,2,2,2,2,3,5,4,3,4,5,3,4,2,3,3,4,2,5,No problems,4/5/2020 13:15
95,Yossi224,4,4,4,5,4,4,5,5,4,3,5,4,2,3,4,2,3,3,4,4,3,3,2,3,No problems,4/5/2020 13:13
96,Yossi225,3,4,4,5,3,5,3,2,3,3,5,4,5,2,5,3,4,2,3,5,4,5,3,5,No problems,4/5/2020 13:11
97,Yossi226,3,2,4,4,3,3,4,3,5,5,3,5,4,5,3,3,3,4,4,4,5,3,5,5,No problems,4/5/2020 13:09
98,Yossi227,4,3,4,2,5,4,4,5,3,4,4,3,3,4,3,3,4,2,5,5,2,5,5,4,No problems,4/5/2020 13:07
99,Yossi228,4,4,2,2,3,5,5,4,2,2,4,3,3,5,2,2,2,2,3,5,2,2,4,3,No problems,4/5/2020 13:05
100,Yossi229,4,4,3,3,4,3,3,4,3,2,3,3,4,3,4,2,3,5,2,4,5,2,3,2,No problems,4/5/2020 13:03
101,Yossi230,4,3,2,2,5,3,5,3,4,3,2,2,4,4,3,5,4,3,4,4,5,5,5,3,No problems,4/5/2020 13:01
102,Yossi231,3,3,4,4,5,4,5,3,4,5,4,3,3,4,4,4,3,5,2,4,5,3,3,3,No problems,4/5/2020 12:59
103,Yossi232,3,4,3,5,3,4,5,5,2,5,4,4,4,3,2,3,3,3,4,4,4,3,2,4,No problems,4/5/2020 12:57
104,Yossi233,4,5,4,5,5,2,3,2,4,4,4,2,4,4,3,3,4,2,3,3,5,2,2,2,No problems,4/5/2020 12:55
105,Yossi234,4,4,2,4,4,3,3,2,3,5,5,4,3,2,4,3,4,3,4,3,3,4,2,4,No problems,4/5/2020 12:53
106,Yossi235,4,4,4,2,3,3,4,4,2,3,4,3,4,4,4,5,4,2,5,3,5,3,4,3,No problems,4/5/2020 12:51
107,Yossi236,4,3,4,5,4,5,4,2,3,3,5,3,4,4,4,5,3,4,3,2,5,5,3,4,No problems,4/5/2020 12:49
108,Yossi237,4,4,3,4,5,2,3,2,4,5,5,5,3,3,4,3,3,4,2,2,3,3,4,3,No problems,4/5/2020 12:47
109,Yossi238,5,5,3,3,2,4,3,2,2,5,4,4,5,3,4,3,4,3,4,3,2,2,3,3,No problems,4/5/2020 12:45
110,Yossi239,2,2,4,2,3,5,5,3,5,4,3,4,3,3,3,2,2,2,3,4,5,4,4,5,No problems,4/5/2020 12:43
111,Yossi240,4,3,2,4,2,2,4,2,4,4,4,5,3,3,4,3,3,4,3,3,4,2,3,3,No problems,4/5/2020 12:41
112,Yossi241,2,5,4,4,3,3,4,3,3,3,5,4,3,5,3,5,2,3,5,3,4,2,2,3,No problems,4/5/2020 12:39
113,Yossi242,2,5,2,4,3,5,4,3,4,3,3,3,3,4,4,3,2,4,3,5,4,2,3,4,No problems,4/5/2020 12:37
114,Yossi243,3,3,4,2,2,3,4,5,2,3,2,5,4,4,4,4,4,3,5,4,3,4,5,2,No problems,4/5/2020 12:35
115,Yossi244,4,4,3,2,5,4,3,2,3,2,2,2,2,5,3,4,3,5,2,5,2,4,4,2,No problems,4/5/2020 12:33
116,Yossi245,3,3,3,3,4,3,5,4,4,4,5,3,3,4,4,5,4,4,3,4,4,3,3,4,No problems,4/5/2020 12:31
117,Yossi246,4,3,4,4,5,3,2,4,3,2,2,3,2,2,4,5,4,4,3,4,4,4,3,3,No problems,4/5/2020 12:29
118,Yossi247,3,4,2,5,4,3,2,5,4,3,4,5,5,4,3,5,4,4,2,5,5,3,4,4,No problems,4/5/2020 12:27
119,Yossi248,4,4,2,4,3,5,3,2,4,2,3,3,2,5,3,3,2,4,3,2,4,2,5,4,No problems,4/5/2020 12:25
120,Yossi249,3,2,3,3,2,5,3,4,4,3,3,3,4,2,4,2,3,3,2,4,5,4,2,3,No problems,4/5/2020 12:23
121,Yossi250,4,3,3,3,4,3,3,3,3,2,3,2,5,5,5,3,2,5,5,4,4,4,5,3,No problems,4/5/2020 12:21
122,Yossi251,3,3,4,2,4,4,4,3,4,4,3,4,5,3,4,4,4,4,5,3,4,5,4,3,No problems,4/5/2020 12:19
123,Yossi252,3,4,2,5,4,3,4,3,4,3,2,4,4,3,3,4,4,2,5,4,4,3,5,2,No problems,4/5/2020 12:17
124,Yossi253,3,4,4,3,4,4,3,3,4,4,3,3,5,4,3,3,2,3,4,4,2,2,5,5,No problems,4/5/2020 12:15
125,Yossi254,2,5,4,3,3,3,4,3,3,5,3,3,4,5,3,2,3,4,4,2,5,4,4,4,No problems,4/5/2020 12:13
126,Yossi255,3,2,3,5,4,4,3,3,5,4,3,5,3,3,2,4,2,4,3,4,3,4,4,4,No problems,4/5/2020 12:11
127,Yossi256,2,3,3,3,2,3,5,4,3,3,3,2,5,5,3,3,2,4,5,4,3,4,5,3,No problems,4/5/2020 12:09
128,Yossi257,3,4,4,4,3,5,3,2,2,2,4,3,5,5,5,4,5,4,3,3,3,4,4,3,No problems,4/5/2020 12:07
129,Yossi258,2,4,3,2,3,5,4,3,2,3,5,5,3,2,4,3,3,2,4,5,3,3,3,3,No problems,4/5/2020 12:05
